model_id,model_name,features,preprocessing,algorithm,train_accuracy,test_accuracy,precision,recall,f1_score,notes,model_path
exp_01,Baseline Logistic Regression + BoW,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.99996870403405,0.9948679434222056,0.99549436795995,0.99425,0.9948717948717948,Baseline Logigstic Bow Regresssioon model.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_logistic_regression.pkl
exp_01,Baseline Logistic Regression + BoW,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.99996870403405,0.9948679434222056,0.99549436795995,0.99425,0.9948717948717948,Baseline Logigstic Bow Regresssioon model.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_logistic_regression.pkl
exp_01,Baseline Logistic Regression + BoW,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.99996870403405,0.9948679434222056,0.99549436795995,0.99425,0.9948717948717948,Baseline Logigstic Bow Regresssioon model.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_logistic_regression.pkl
exp_02,Naive Bayes + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Multinomial Naive Bayes,0.959784683754264,0.9484290899987484,0.9493987975951904,0.9475,0.9484484484484484,Naive Bayes model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_naive_bayes.pkl
exp_03,Random Forest + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Random Forest,1.0,0.9904869195143322,0.98927680798005,0.99175,0.9905118601747817,Random Forest model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_random_forest.pkl
exp_04,SVM + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Linear SVM,1.0,0.994742771310552,0.9949974987493748,0.9945,0.994748687171793,Linear SVM model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_svm.pkl
exp_13,Logistic Regression + Average GloVe Embeddings,Average GloVe Word Embeddings,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.9309923950802742,0.9272750031293028,0.923248328794256,0.93225,0.9277273292698096,Uses pre-trained GloVe vectors averaged across each document.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/embeddings_logistic_regression.pkl
exp_13,Logistic Regression + Average GloVe Embeddings,Average GloVe Word Embeddings,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.9331518167308234,0.926398798347728,0.9226957383548068,0.931,0.926829268292683,Uses pre-trained GloVe vectors averaged across each document.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/embeddings_logistic_regression.pkl
exp_14,Random Forest + Word Embeddings,TF-IDF Weighted GloVe Word Embeddings,Lowercase + HTML removal + stopword removal + lemmatization,Random Forest,1.0,0.9394166979596946,0.9414866901054746,0.93725,0.9393635680280632,Random Forest model using TF-IDF weighted GloVe document embeddings.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/embeddings_random_forest.pkl
exp_14,Random Forest + Word Embeddings,TF-IDF Weighted GloVe Word Embeddings,Lowercase + HTML removal + stopword removal + lemmatization,Random Forest,1.0,0.9394166979596946,0.9414866901054746,0.93725,0.9393635680280632,Random Forest model using TF-IDF weighted GloVe document embeddings.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/embeddings_random_forest.pkl
15,SVM + Word Embeddings,TF-IDF Weighted GloVe Word Embeddings,Lowercase + HTML removal + stopword removal + lemmatization,SVM,0.9327762651394236,0.9268994867943422,0.9223541048466865,0.9325,0.9273993038289408,SVM model using TF-IDF weighted GloVe document embeddings.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/embeddings_svm.pkl
exp_04,SVM + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Linear SVM,1.0,0.994742771310552,0.9949974987493748,0.9945,0.994748687171793,Linear SVM model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_svm.pkl
exp_01,Logistic Regression + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Logistic Regression,0.99996870403405,0.9948679434222056,0.99549436795995,0.99425,0.9948717948717948,Baseline Logistic Regression model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_logistic_regression.pkl
exp_02,Naive Bayes + Bag of Words,Bag of Words,Lowercase + HTML removal + stopword removal + lemmatization,Multinomial Naive Bayes,0.9597846837542641,0.9484290899987483,0.9493987975951904,0.9475,0.9484484484484484,Multinomial Naive Bayes model using Bag of Words features.,/Users/karima/Ironhack-challenges/fake-news-nlp-classification/models/bow_naive_bayes.pkl
